Это кэш всех репозиториев, которыми я владею, в которые я вносил вклад или членом которых я являюсь. ЛКДМ - линии кода добавленные мной, ЛКУМ - линии кода удаленные мной.

    репо (хеш)   вообщем коммитов     мои коммиты    ЛКДМ            ЛКУМ       
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
086b6e72477551e3ee4302af0d0ccedd18dbcc2dd43386eb8020bef5c0a93625 18 16 1450 202
57bafe6119b2880559307db4fde36fa1548d56e4bb947baeba9e6da3d9c4ee0b 4 1 248 714
7ba561ffefee3c343e9fb55fc24bb81c398f7de88ca327282708ae7957afd280 4 1 248 714
d4e875cd7329226131ac947b34eb44209a0ef5e86f6c359871ca7deb5c8f2ae9 32 21 99112 1034
cbb9664b5a2cc30e3e45e27a42316515448f0b746a9a96bef5a148886545c4c2 117 117 600271 5161
7413b7080b4def129e24323253d28d8ee9ac26e7a4d0aa02d10dd511e48002e6 3466 0 0 0
57d3f9e1d981acdb12b0278bfb5b77bc5f3539077b15f209e198f356b2c3596c 501 0 0 0
bac9c6d7554840b69c3f6f92e10de56a132a2019a2a081f04caa73fa186a0f92 148 0 0 0
5f28bc5041ab65388bcafbd0d93c260c76550b4490caa0aefbd6c0983b00053c 14 2 3338 0
b1b7e2e9a7142da93d56a9ef090146f920d05308fee728cc87393255cb9b695b 6 2 3338 0
554022328577da633df6f3065712d67aa111fae511210aee66d06c8b31dac379 475 44 1273 735
5f1b127d3d121e858b4b5f692ee5a56908fca772de3d637a4fe345842406170d 3 3 62 2
e9eb29b2389084f5c9b6655251e3ae4fdbf8c3c85145cc91237f08df1bce78cd 16 1 69 173
fa4b7284186148a33cf48095ddd46f3574446112f6e1c1aad0197b78dfbb649f 7 0 0 0
589fdf437a81f209b7a2b1138e275604179c30919f81f327fa521089da4d53b0 752 0 0 0
8838226ce45518b1697e5e02c08bf8b5ab9368c5252d4d228cd777bdc4229243 244 0 0 0
b522eb306c857ebe2ae785e4de7ad68e1a115d58a247f2640dad016bf8a851eb 756 0 0 0
aa4e29cbeac9cd3b648fc394031ea1a7b779ebb0dedcce4f12a97a31683a42ef 19 0 0 0
